"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000118","San Girolamo penitente nello studio (dipinto, opera isolata) - ambito casalese (fine sec. XVII)","https://w3id.org/arco/resource/Subject/443085a11f4efcbaeb203a4da995d96c","11 H (GIROLAMO) 36 2","San Girolamo penitente nello studio","San Girolamo penitente nello studio"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000118","San Girolamo penitente nello studio (dipinto, opera isolata) - ambito casalese (fine sec. XVII)","https://w3id.org/arco/resource/Subject/443085a11f4efcbaeb203a4da995d96c","11 H (GIROLAMO) 36 2","San Girolamo penitente nello studio","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000119","San Grato (dipinto, opera isolata) - ambito casalese (fine sec. XVII)","https://w3id.org/arco/resource/Subject/c2ba9e4a871f62c1892aba5fc8ee9103","11 H (GRATO)","San Grato","San Grato"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000119","San Grato (dipinto, opera isolata) - ambito casalese (fine sec. XVII)","https://w3id.org/arco/resource/Subject/c2ba9e4a871f62c1892aba5fc8ee9103","11 H (GRATO)","San Grato","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000122","angelo reggicandelabro (candelabro - a statua, serie) - ambito piemontese (metà sec. XVII)","https://w3id.org/arco/resource/Subject/0a7b74022dce7bec7ebaa3a35f842da2","11 G 19 26","angelo reggicandelabro","angelo reggicandelabro"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000122","angelo reggicandelabro (candelabro - a statua, serie) - ambito piemontese (metà sec. XVII)","https://w3id.org/arco/resource/Subject/0a7b74022dce7bec7ebaa3a35f842da2","11 G 19 26","angelo reggicandelabro","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000125","Madonna con Bambino e San Grato (dipinto, opera isolata) - ambito piemontese (inizio sec. XVIII)","https://w3id.org/arco/resource/Subject/31c29b6b85a33718d18b39019f8cd5b1","11 F 42 21 : 11 H (GRATO)","Madonna con Bambino e San Grato","Madonna con Bambino e San Grato"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000125","Madonna con Bambino e San Grato (dipinto, opera isolata) - ambito piemontese (inizio sec. XVIII)","https://w3id.org/arco/resource/Subject/31c29b6b85a33718d18b39019f8cd5b1","11 F 42 21 : 11 H (GRATO)","Madonna con Bambino e San Grato","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000128","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (inizio sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","Cristo crocifisso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000128","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (inizio sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000135","deposizione di Cristo dalla croce (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/fbb432b7766811b2b7c9b59ecebfa85c","73 D 71","deposizione di Cristo dalla croce","deposizione di Cristo dalla croce"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000135","deposizione di Cristo dalla croce (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/fbb432b7766811b2b7c9b59ecebfa85c","73 D 71","deposizione di Cristo dalla croce","http://culturaitalia.it/pico/thesaurus/4.2#stampe_incisioni_matrici"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000136","adorazione dei pastori (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/cb11e7c447845b7cb8ebedf2eaa2c110","73 B 25","adorazione dei pastori","adorazione dei pastori"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000136","adorazione dei pastori (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/cb11e7c447845b7cb8ebedf2eaa2c110","73 B 25","adorazione dei pastori","http://culturaitalia.it/pico/thesaurus/4.2#stampe_incisioni_matrici"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000137","adorazione dei Re Magi (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/15ab23fc010f8b74ab5ca425e59ac4e0","73 B 57","adorazione dei Re Magi","adorazione dei Re Magi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000137","adorazione dei Re Magi (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/15ab23fc010f8b74ab5ca425e59ac4e0","73 B 57","adorazione dei Re Magi","http://culturaitalia.it/pico/thesaurus/4.2#stampe_incisioni_matrici"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000138","Cristo che cade portando la croce (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/7b32acfc95194d94c0ce4fe4bea35420","73 D 41 1","Cristo che cade portando la croce","Cristo che cade portando la croce"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000138","Cristo che cade portando la croce (stampa) - ambito francese (secc. XVII/ XVIII)","https://w3id.org/arco/resource/Subject/7b32acfc95194d94c0ce4fe4bea35420","73 D 41 1","Cristo che cade portando la croce","http://culturaitalia.it/pico/thesaurus/4.2#stampe_incisioni_matrici"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000139","riposo nella fuga in Egitto con la Madonna che allatta Gesù Bambino (dipinto, opera isolata) - ambito casalese (sec. XVIII)","https://w3id.org/arco/resource/Subject/5c2727be0dd684ccd0dcef43105b9266","73 B 65 : 42 A 31","riposo nella fuga in Egitto con la Madonna che allatta Gesù Bambino","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000139","riposo nella fuga in Egitto con la Madonna che allatta Gesù Bambino (dipinto, opera isolata) - ambito casalese (sec. XVIII)","https://w3id.org/arco/resource/Subject/5c2727be0dd684ccd0dcef43105b9266","73 B 65 : 42 A 31","riposo nella fuga in Egitto con la Madonna che allatta Gesù Bambino","riposo nella fuga in Egitto con la Madonna che allatta Gesù Bambino"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000146","cherubini e motivi decorativi fitomorfi (cartagloria, elemento d'insieme) - produzione piemontese (terzo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/484305d8f6fdffd4abf9e0b1446c02f5","48 A 9832","cherubini e motivi decorativi fitomorfi","cherubini e motivi decorativi fitomorfi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000146","cherubini e motivi decorativi fitomorfi (cartagloria, elemento d'insieme) - produzione piemontese (terzo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/484305d8f6fdffd4abf9e0b1446c02f5","48 A 9832","cherubini e motivi decorativi fitomorfi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000147","cherubini e motivi decorativi fitomorfi (cartagloria, serie) - produzione piemontese (terzo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/484305d8f6fdffd4abf9e0b1446c02f5","48 A 9832","cherubini e motivi decorativi fitomorfi","cherubini e motivi decorativi fitomorfi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000147","cherubini e motivi decorativi fitomorfi (cartagloria, serie) - produzione piemontese (terzo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/484305d8f6fdffd4abf9e0b1446c02f5","48 A 9832","cherubini e motivi decorativi fitomorfi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000149","San Vincenzo dè Paoli (dipinto, opera isolata) - ambito piemontese (fine sec. XVII)","https://w3id.org/arco/resource/Subject/b0969edb0ad7f1e7bf847cbbfd7ad2ca","11 H (VINCENZO DE' PAOLI)","San Vincenzo dè Paoli","San Vincenzo dè Paoli"
