art,subj1,subj1Label,constr,constrLabel,qualifier,qualifierLabel,subj2,subj2Label,subj3,subj3Label
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q42177,letto,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:69.4466,0.99723,30.0986,30.3047","pct:69.4466,0.99723,30.0986,30.3047",http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q144,cane,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:35.1782,82.4377,24.5641,16.3435","pct:35.1782,82.4377,24.5641,16.3435",http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q80151,cappello,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q23445,nero,http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q42177,letto,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:69.4466,0.99723,30.0986,30.3047","pct:69.4466,0.99723,30.0986,30.3047",http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q235113,angelo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35473,finestra,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:1.89538,1.27424,13.7983,34.072","pct:1.89538,1.27424,13.7983,34.072",http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q200539,abito da donna,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q3133,verde,http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35473,finestra,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:1.89538,1.27424,13.7983,34.072","pct:1.89538,1.27424,13.7983,34.072",http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q200539,abito da donna,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q3133,verde,http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
